,관광지,날짜,버즈량,위치
1647,곽지해수욕장,2021-07-07,66,제주시
1648,곽지해수욕장,2021-07-08,57,제주시
1649,곽지해수욕장,2021-07-09,64,제주시
1650,곽지해수욕장,2021-07-10,44,제주시
1651,곽지해수욕장,2021-07-11,42,제주시
1652,곽지해수욕장,2021-07-12,55,제주시
1653,곽지해수욕장,2021-07-13,48,제주시
1654,곽지해수욕장,2021-07-14,48,제주시
1655,곽지해수욕장,2021-07-15,43,제주시
1656,곽지해수욕장,2021-07-16,57,제주시
1657,곽지해수욕장,2021-07-17,45,제주시
1658,곽지해수욕장,2021-07-18,47,제주시
1659,곽지해수욕장,2021-07-19,76,제주시
1660,곽지해수욕장,2021-07-20,42,제주시
1661,곽지해수욕장,2021-07-21,49,제주시
1662,곽지해수욕장,2021-07-22,72,제주시
1663,곽지해수욕장,2021-07-23,48,제주시
1664,곽지해수욕장,2021-07-24,46,제주시
1665,곽지해수욕장,2021-07-25,50,제주시
1666,곽지해수욕장,2021-07-26,78,제주시
1667,곽지해수욕장,2021-07-27,53,제주시
1668,곽지해수욕장,2021-07-28,62,제주시
1669,곽지해수욕장,2021-07-29,57,제주시
1670,곽지해수욕장,2021-07-30,48,제주시
1671,곽지해수욕장,2021-07-31,44,제주시
1672,곽지해수욕장,2021-08-01,38,제주시
1673,곽지해수욕장,2021-08-02,81,제주시
1674,곽지해수욕장,2021-08-03,64,제주시
1675,곽지해수욕장,2021-08-04,62,제주시
1676,곽지해수욕장,2021-08-05,45,제주시
1677,곽지해수욕장,2021-08-06,57,제주시
1678,곽지해수욕장,2021-08-07,35,제주시
1679,곽지해수욕장,2021-08-08,49,제주시
1680,곽지해수욕장,2021-08-09,54,제주시
1681,곽지해수욕장,2021-08-10,55,제주시
1682,곽지해수욕장,2021-08-11,51,제주시
1683,곽지해수욕장,2021-08-12,49,제주시
1684,곽지해수욕장,2021-08-13,46,제주시
1685,곽지해수욕장,2021-08-14,40,제주시
1686,곽지해수욕장,2021-08-15,30,제주시
1687,곽지해수욕장,2021-08-16,56,제주시
1688,곽지해수욕장,2021-08-17,72,제주시
1689,곽지해수욕장,2021-08-18,60,제주시
1690,곽지해수욕장,2021-08-19,53,제주시
1691,곽지해수욕장,2021-08-20,47,제주시
1692,곽지해수욕장,2021-08-21,40,제주시
1693,곽지해수욕장,2021-08-22,37,제주시
1694,곽지해수욕장,2021-08-23,43,제주시
1695,곽지해수욕장,2021-08-24,62,제주시
1696,곽지해수욕장,2021-08-25,45,제주시
1697,곽지해수욕장,2021-08-26,53,제주시
1698,곽지해수욕장,2021-08-27,48,제주시
1699,곽지해수욕장,2021-08-28,33,제주시
1700,곽지해수욕장,2021-08-29,33,제주시
1701,곽지해수욕장,2021-08-30,46,제주시
1702,곽지해수욕장,2021-08-31,42,제주시
1703,곽지해수욕장,2021-09-01,45,제주시
1704,곽지해수욕장,2021-09-02,44,제주시
1705,곽지해수욕장,2021-09-03,30,제주시
1706,곽지해수욕장,2021-09-04,44,제주시
1707,곽지해수욕장,2021-09-05,40,제주시
1708,곽지해수욕장,2021-09-06,55,제주시
1709,곽지해수욕장,2021-09-07,40,제주시
1710,곽지해수욕장,2021-09-08,34,제주시
1711,곽지해수욕장,2021-09-09,34,제주시
1712,곽지해수욕장,2021-09-10,39,제주시
1713,곽지해수욕장,2021-09-11,35,제주시
1714,곽지해수욕장,2021-09-12,25,제주시
1715,곽지해수욕장,2021-09-13,41,제주시
1716,곽지해수욕장,2021-09-14,38,제주시
1717,곽지해수욕장,2021-09-15,30,제주시
1718,곽지해수욕장,2021-09-16,38,제주시
1719,곽지해수욕장,2021-09-17,44,제주시
1720,곽지해수욕장,2021-09-18,36,제주시
1721,곽지해수욕장,2021-09-19,25,제주시
1722,곽지해수욕장,2021-09-20,25,제주시
1723,곽지해수욕장,2021-09-21,24,제주시
1724,곽지해수욕장,2021-09-22,31,제주시
1725,곽지해수욕장,2021-09-23,52,제주시
1726,곽지해수욕장,2021-09-24,34,제주시
1727,곽지해수욕장,2021-09-25,36,제주시
1728,곽지해수욕장,2021-09-26,32,제주시
1729,곽지해수욕장,2021-09-27,40,제주시
1730,곽지해수욕장,2021-09-28,44,제주시
1731,곽지해수욕장,2021-09-29,41,제주시
1732,곽지해수욕장,2021-09-30,31,제주시
1733,곽지해수욕장,2021-10-01,35,제주시
1734,곽지해수욕장,2021-10-02,26,제주시
1735,곽지해수욕장,2021-10-03,29,제주시
1736,곽지해수욕장,2021-10-04,43,제주시
1737,곽지해수욕장,2021-10-05,61,제주시
1738,곽지해수욕장,2021-10-06,38,제주시
1739,곽지해수욕장,2021-10-07,38,제주시
1740,곽지해수욕장,2021-10-08,37,제주시
1741,곽지해수욕장,2021-10-09,38,제주시
1742,곽지해수욕장,2021-10-10,27,제주시
1743,곽지해수욕장,2021-10-11,30,제주시
1744,곽지해수욕장,2021-10-12,47,제주시
1745,곽지해수욕장,2021-10-13,45,제주시
1746,곽지해수욕장,2021-10-14,38,제주시
1747,곽지해수욕장,2021-10-15,33,제주시
1748,곽지해수욕장,2021-10-16,31,제주시
1749,곽지해수욕장,2021-10-17,36,제주시
1750,곽지해수욕장,2021-10-18,43,제주시
1751,곽지해수욕장,2021-10-19,46,제주시
1752,곽지해수욕장,2021-10-20,42,제주시
1753,곽지해수욕장,2021-10-21,29,제주시
1754,곽지해수욕장,2021-10-22,43,제주시
1755,곽지해수욕장,2021-10-23,31,제주시
1756,곽지해수욕장,2021-10-24,31,제주시
1757,곽지해수욕장,2021-10-25,40,제주시
